ICODE,INAME,INAME1,OICODE,FICODE,IGCODE,UNIT,AQTY,QTY,FQTY,FAMT,SCHNO,SCHTYPE,RATE,SRATE,IVAL,IAMT,INVNO,DINVNO,PCODE,NAME,PCODEC,ARCODE,CATCD,DATE,IO,DESC,DBC,NT,TYCODE,DUM_INVNO,USER,CDATE,TIME,VAT,AVAT,PRODID,VATAMT,AVATAMT,DPCODE,PRINTED
90973,VOLCANO CHOCOLATE CONE,,,,I,,,3.000,0.000,0.00,,,113.80,,341.40,341.40,TIC/0023,,N0007,,ISLTX,N01,CT,04-04-12,O,,SALE,,VATIC,,TEM,13-06-12,11:23:58,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,113.80,,227.60,227.60,TIC/0017,,B0014,,ISLTX,N01,PR,04-04-12,O,,SALE,,VATIC,,TEM,14-07-12,12:52:51,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,119.30,,238.60,238.60,TIC/0019,,K0012,,ISLTX,N01,PR,04-04-12,O,,SALE,,VATIC,,TEM,17-07-12,11:25:14,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,2.000,0.000,0.00,,,113.80,,227.60,227.60,TIC/0025,,N0007,,ISLTX,N01,CT,05-04-12,O,,SALE,,VATIC,,TEM,12-06-12,14:19:37,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,2.000,0.000,0.00,,,113.80,,227.60,227.60,TIC/0026,,D0017,,ISLTX,N01,PR,05-04-12,O,,SALE,,VATIC,,TEM,13-06-12,11:22:39,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,119.30,,119.30,119.30,TIC/0029,,R0019,,ISLTX,N01,,05-04-12,O,,SALE,,VATIC,,TEM,13-07-12,21:00:37,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,3.000,0.000,0.00,,,113.80,,341.40,341.40,TIC/0038,,N0007,,ISLTX,N01,CT,06-04-12,O,,SALE,,VATIC,,TEM,13-06-12,12:17:11,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,3.000,0.000,0.00,,,113.80,,341.40,341.40,TIC/0045,,H0035,,ISLTX,M01,H1,07-04-12,O,,SALE,,VATIC,,TEM,12-06-12,13:13:08,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,2.000,0.000,0.00,,,113.80,,227.60,227.60,TIC/0046,,P0011,,ISLTX,D02,PR,07-04-12,O,,SALE,,VATIC,,TEM,12-06-12,13:21:52,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,119.30,,238.60,238.60,TIC/0052,,K0013,,ISLTX,P01,,07-04-12,O,,SALE,,VATIC,,TEM,12-07-12,11:26:44,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,119.30,,238.60,238.60,TIC/0047,,P0011,,ISLTX,D02,PR,07-04-12,O,,SALE,,VATIC,,TEM,04-09-12,10:53:18,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,119.30,,238.60,238.60,TIC/0050,,G0018,,ISLTX,N01,,07-04-12,O,,SALE,,VATIC,,TEM,13-07-12,21:23:00,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,3.000,0.000,0.00,,,119.30,,357.90,357.90,TIC/0051,,O0006,,ISLTX,D02,PR,07-04-12,O,,SALE,,VATIC,,TEM,14-07-12,13:28:08,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,1.000,0.000,0.00,,,119.20,,119.20,119.20,TIC/0049,,J0015,,ISLTX,N01,,07-04-12,O,,SALE,,VATIC,,TEM,17-07-12,10:31:00,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,4.000,0.000,0.00,,,119.30,,477.20,477.20,TIC/0063,,B0004,,ISLTX,N01,PR,08-04-12,O,,SALE,,VATIC,,TEM,17-07-12,10:27:52,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,2.000,0.000,0.00,,,113.80,,227.60,227.60,TIC/0066,,H0036,,ISLTX,D02,BR,09-04-12,O,,SALE,,VATIC,,TEM,12-06-12,13:19:34,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,3.000,0.000,0.00,,,113.80,,341.40,341.40,TIC/0067,,P0011,,ISLTX,D02,PR,09-04-12,O,,SALE,,VATIC,,TEM,12-06-12,13:20:21,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,4.000,0.000,0.00,,,113.80,,455.20,455.20,TIC/0064,,N0007,,ISLTX,N01,CT,09-04-12,O,,SALE,,VATIC,,TEM,13-06-12,12:22:09,,,,,,,
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,T,,,2.000,0.000,0.00,,,119.30,,238.60,238.60,TIC/0071,,J0010,,ISLTX,N01,ST,09-04-12,O,,SALE,,VATIC,,TEM,17-07-12,10:35:03,,,,,,,
90973,VOLCANO CHOCOLATE CONE,,,,I,,,1.000,0.000,0.00,,,113.80,,113.80,113.80,TIC/0073,,D0017,,ISLTX,N01,PR,10-04-12,O,,SALE,,VATIC,,TEM,12-06-12,13:21:16,,,,,,,
