ICODE,INAME,INAME1,OICODE,FICODE,QTY,RATE,SRATE,IVAL,IAMT,INVNO,PCODE,ODATE,DBC
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/0023,N0007,04-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,113.8,,227.6,227.6,TIC/0017,B0014,04-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,119.3,,238.6,238.6,TIC/0019,K0012,04-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/0025,N0007,05-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/0026,D0017,05-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,119.3,,119.3,119.3,TIC/0029,R0019,05-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/0038,N0007,06-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/0045,H0035,07-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/0046,P0011,07-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,119.3,,238.6,238.6,TIC/0052,K0013,07-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,119.3,,238.6,238.6,TIC/0047,P0011,07-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,119.3,,238.6,238.6,TIC/0050,G0018,07-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,119.3,,357.9,357.9,TIC/0051,O0006,07-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,119.2,,119.2,119.2,TIC/0049,J0015,07-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,4,119.3,,477.2,477.2,TIC/0063,B0004,08-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/0066,H0036,09-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/0067,P0011,09-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,113.8,,455.2,455.2,TIC/0064,N0007,09-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,119.3,,238.6,238.6,TIC/0071,J0010,09-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/0073,D0017,10-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,5,113.8,,569,569,TIC/0077,D0017,11-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,119.3,,119.3,119.3,TIC/0079,S0056,11-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,119.3,,238.6,238.6,TIC/0076,K0012,11-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,119.2,,119.2,119.2,TIC/0075,A0016,11-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/0085,P0009,12-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,119.3,,119.3,119.3,TIC/0081,P0015,12-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,119.3,,238.6,238.6,TIC/0090,S0043,12-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,119.3,,238.6,238.6,TIC/0101,S0045,13-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,10,113.8,,1138,1138,TIC/0092,D0017,13-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,119.3,,357.9,357.9,TIC/0097,S0056,13-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,119.3,,119.3,119.3,TIC/0093,S0058,13-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,119.3,,238.6,238.6,TIC/0113,R0019,14-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,6,119.3,,715.8,715.8,TIC/0111,O0006,14-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,119.3,,357.9,357.9,TIC/0118,H0035,15-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,119.3,,477.2,477.2,TIC/0116,H0041,15-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,119.3,,477.2,477.2,TIC/0117,H0034,15-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,199.3,,199.3,199.3,TIC/0123,H0042,15-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,5,119.3,,596.5,596.5,TIC/0110,N0007,15-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,119.3,,238.6,238.6,TIC/0137,H0028,17-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,119.3,,477.2,477.2,TIC/0140,S0054,18-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/0149,P0015,18-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/0142,P0016,18-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,119.3,,238.6,238.6,TIC/0145,N0007,18-04-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,2,113.8,,227.6,227.6,TIC/0150,S0043,18-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,119.3,,119.3,119.3,TIC/0220,S0043,29-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.22,,398.44,398.44,TIC/0218,K0012,29-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0214,K0013,29-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.22,,398.44,398.44,TIC/0227,K0009,30-04-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.22,,398.44,398.44,TIC/0431,N0007,01-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,199.22,,398.44,398.44,TIC/0231,N0007,01-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0229,S0056,01-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0226,B0004,01-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/0232,D0017,02-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,199.22,,199.22,199.22,TIC/0241,H0028,02-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,170.7,,341.4,341.4,TIC/0506,P0009,03-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,6,199.22,,1195.32,1195.32,TIC/0509,N0007,03-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,119.3,,357.9,357.9,TIC/0262,J0014,05-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,113.8,,341.4,341.4,TIC/0267,N0007,06-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,113.8,,341.4,341.4,TIC/0277,K0012,06-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,6,199.22,,1195.32,1195.32,TIC/0273,O0006,06-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,199.22,,597.66,597.66,TIC/0283,M0030,06-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,2,119.3,,238.6,238.6,TIC/0279,J0014,06-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,4,113.8,,455.2,455.2,TIC/0289,D0017,07-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,5,113.8,,569,569,TIC/0244,N0007,07-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,3,119.3,,357.9,357.9,TIC/0292,P0011,07-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,119.3,,357.9,357.9,TIC/0291,S0056,07-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,3,119.3,,357.9,357.9,TIC/0287,S0045,07-05-12,SALE
V0973,VOLCANE CHOCOLATE CONE(1*14),,,,1,119.3,,119.3,119.3,TIC/0285,R0019,07-05-12,SALE
90973,VOLCANO CHOCOLATE CONE,,,,1,113.8,,113.8,113.8,TIC/0238,D0017,08-05-12,SALE
